episode,reward
0,-88
1,-26
2,-55
3,-100
4,-100
5,-50
6,-100
7,-100
8,-100
9,-100
10,-100
11,-100
12,-100
13,-100
14,-100
15,-100
16,-100
17,-100
18,-100
19,-100
20,-100
21,-100
22,-100
23,-34
24,-100
25,-100
26,-100
27,-100
28,-100
29,-85
30,3
31,-8
32,3
33,-10
34,-7
35,-5
36,-5
37,1
38,3
39,3
40,3
41,1
42,3
43,1
44,-11
45,1
46,3
47,0
48,3
49,0
50,3
51,0
52,1
53,3
54,3
55,3
56,3
57,-11
58,3
59,1
60,3
61,3
62,3
63,-2
64,3
65,3
66,0
67,3
68,3
69,3
70,3
71,3
72,1
73,-3
74,2
75,3
76,3
77,2
78,3
79,-4
80,3
81,-17
82,3
83,3
84,3
85,2
86,2
87,0
88,1
89,3
90,2
91,-7
92,2
93,2
94,3
95,3
96,3
97,2
98,-2
99,1
100,-1
101,-9
102,3
103,0
104,-3
105,0
106,1
107,3
108,2
109,0
110,3
111,-1
112,1
113,3
114,1
115,3
116,3
117,3
118,3
119,-1
120,1
121,-15
122,0
123,2
124,2
125,-5
126,3
127,2
128,1
129,0
130,3
131,3
132,-6
133,3
134,3
135,3
136,3
137,1
138,3
139,3
140,3
141,3
142,3
143,-11
144,2
145,2
146,-9
147,1
148,3
149,2
150,2
151,3
152,3
153,2
154,3
155,2
156,3
157,3
158,1
159,3
160,3
161,1
162,2
163,3
164,3
165,3
166,3
167,3
168,3
169,1
170,3
171,2
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,1
184,3
185,3
186,3
187,3
188,2
189,0
190,3
191,0
192,3
193,2
194,3
195,3
196,3
197,2
198,2
199,2
200,3
201,2
202,3
203,2
204,2
205,3
206,3
207,2
208,3
209,3
210,3
211,3
212,2
213,1
214,3
215,3
216,3
217,1
218,3
219,3
220,3
221,2
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,2
230,3
231,1
232,3
233,3
234,2
235,3
236,3
237,3
238,1
239,3
240,2
241,3
242,3
243,3
244,-2
245,0
246,3
247,2
248,2
249,1
250,2
251,3
252,3
253,3
254,0
255,3
256,3
257,3
258,3
259,3
260,-1
261,3
262,3
263,3
264,3
265,3
266,0
267,3
268,3
269,1
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,1
281,3
282,3
283,3
284,2
285,1
286,3
287,0
288,3
289,2
290,3
291,3
292,2
293,2
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,2
302,3
303,3
304,2
305,3
306,3
307,1
308,3
309,3
310,3
311,3
312,3
313,3
314,2
315,3
316,3
317,-2
318,1
319,3
320,1
321,3
322,3
323,3
324,2
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,-1
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,0
356,3
357,3
358,2
359,2
360,3
361,3
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,1
373,3
374,3
375,3
376,3
377,3
378,3
379,2
380,3
381,3
382,3
383,3
384,1
385,3
386,3
387,3
388,3
389,3
390,3
391,1
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,2
403,2
404,3
405,3
406,2
407,3
408,3
409,2
410,3
411,3
412,3
413,3
414,1
415,3
416,3
417,2
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,2
431,1
432,1
433,3
434,3
435,3
436,2
437,3
438,3
439,3
440,3
441,3
442,3
443,2
444,-1
445,3
446,2
447,3
448,3
449,3
450,3
451,1
452,3
453,3
454,3
455,2
456,1
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,2
466,3
467,3
468,3
469,2
470,2
471,2
472,3
473,3
474,2
475,3
476,3
477,3
478,3
479,3
480,1
481,3
482,2
483,3
484,3
485,3
486,3
487,-2
488,2
489,3
490,3
491,3
492,3
493,2
494,3
495,3
496,3
497,3
498,3
499,3
